MP.name,Nature.of.membership,Start.of.term,End.of.term,State,Constituency,Political.party,Gender,Educational.qualifications,Educational.qualifications...details,Age,Debates,Private.Member.Bills,Questions,Attendance,Notes,National.Debates.average,National.Private.Member.Bills.average,National.Questions.average,National.Attendance.average,State.s.Debates.average,State.s.Private.Member.Bills..average,State.s.Questions.average,State.s.Attendance.average,Minister,MajorCriminal,Category,Immoveable,Moveable,MOV,Entitlement,Released,AvailablewInterest,Recommended,Sanctioned,Expenditure,ExpenditureReleasedPerc,Unspent
Manohar Tirkey,Elected,18-May-09,In office,West Bengal,Alipurduars,Revolutionary Socialist Party,Male,Inter/ Higher Secondary,"Educated at St. Joseph`s High School Alipurduar JN. Distt. Jalpaiguri, West Bengal",60,32,0,602,57%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%,0,0,ST,60000,2458723,0.1208288,19,20.14,21.52,18.97,18.97,21.52,106.84,0
Mansukhbhai D. Vasava,Elected,18-May-09,In office,Gujarat,Bharuch,Bharatiya Janata Party,Male,Post Graduate,"B.A., M.S.W.; Educated at South Gujarat University, Surat and Gujarat Vidyapith, Ahmedabad, Gujarat",56,48,0,802,78%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,41,1.4,382,76%,0,0,GEN,7E+06,951000,0.036337402,19,19.08,20.25,22,20.47,20.17,105.73,0.08
Marotrao Sainuji Kowase,Elected,18-May-09,In office,Maharashtra,Gadchiroli-Chimur,Indian National Congress,Male,Post Graduate,"M.A. (Political Science); Educated at Nagpur University, Maharashtra",64,16,0,471,85%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,0,ST,1,1,0.034135699,19,19.35,20.92,32.43,20.39,19.42,100.34,1.5
Mausam Noor,Elected,18-May-09,In office,West Bengal,Maldaha Uttar,Indian National Congress,Female,Graduate,LL.B.; Educated at Calcutta University,34,4,0,60,66%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%,0,0,GEN,1740000,207358,0.065264098,19,17.64,19.38,21.26,20.5,19.39,109.9,-0.01
Meena Singh,Elected,18-May-09,In office,Bihar,Arrah,Janata Dal (United),Female,Graduate,B.A.; Educated at Banaras Hindu University (B.H.U.) ,52,26,0,406,87%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%,0,0,GEN,1,108206,0.1343037,19,19.48,20.95,24.2,21.94,20.95,107.57,-0.01
Meenakshi Natrajan,Elected,18-May-09,In office,Madhya Pradesh,Mandsour,Indian National Congress,Female,Post Graduate,"M.Sc., (Biochemistry), LL.B.; Educated at Holkar Science College, GACC Indore, DAVV University",40,16,0,135,84%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,46.6,0.4,233,82%,0,0,GEN,NA,1115281,0.040261202,19,19.03,20.01,18.7,18.7,17.96,94.36,2.05
Meira Kumar,Elected,18-May-09,In office,Bihar,Sasaram,Indian National Congress,Female,Post Graduate,"M.A., LL.B, Advanced Diploma in Spanish; Educated at Indraprastha College and Miranda House, University of Delhi (Delhi) and Madrid (Spain) ",68,N/A,N/A,N/A,N/A,"As Speaker, this MP does not not sign the attendance register, ask questions, introduce private member bills, or participate in debates. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,SC,90400000,11100000,0.071705803,19,19.48,21.53,20.31,19.34,21.52,110.5,0.01
Milind Murli Deora,Elected,18-May-09,In office,Maharashtra,Mumbai-South,Indian National Congress,Male,Graduate,"BBA (Bachelor of Science in Business Administration); Educated at Sydenham College, Mumbai and Boston University, USA",37,0,0,274,88%,"This MP was appointed a minister in Jul, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th Mar, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",15.9,0.4,119,76%,12.1,0.8,200,74%,1,0,GEN,1,1.72E+08,0.1756345,19,16.85,18.68,23.14,19.5,16.98,100.75,1.7
Mirza Mehboob Beg,Elected,18-May-09,In office,Jammu and Kashmir,Anantnag,Jammu and Kashmir National Conference,Male,Graduate,M.B.B.S.; Educated at Srinagar Medical College,64,58,0,27,85%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,44.4,0,96,88%,0,0,GEN,3500000,1350000,0.016390201,19,19,20.8,21.08,20.64,18.26,96.11,2.54
Mithlesh Kumar,Elected,18-May-09,In office,Uttar Pradesh,Shahjahanpur,Samajwadi Party,Male,Graduate,"B.Sc.; Educated at Bareli College, (Uttar Pradesh) ",49,21,0,154,86%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,0,SC,4017000,4518655,0.089057803,19,19.06,19.53,16.7,16.7,14.57,76.43,4.96
Modugula Venugopala Reddy,Elected,18-May-09,In office,Andhra Pradesh,Narasaraopet,Telugu Desam Party,Male,Graduate,"B.Com., LL.B.; Educated at JKC College, Guntur, Reddy College, Guntur, ILS Law College, Pune",47,29,0,485,67%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%,0,1,GEN,NA,9907622,0.0014856,19,19,20.87,20.19,20.19,18.43,97,2.44
Mohammed Azharuddin,Elected,18-May-09,In office,Uttar Pradesh,Moradabad,Indian National Congress,Male,Graduate,B.Com; Educated at Nizam College (Osmania University) ,51,2,0,5,75%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,0,GEN,1.2E+07,14200000,0.064534299,19,19.06,19.48,18.76,16.85,14.76,77.43,4.72
Mohan Jena,Elected,18-May-09,In office,Orissa,Jajpur,Biju Janata Dal,Male,Post Graduate,"M.A. (Sociology); Educated at Kendrapara College, Kendrapara and P.G.Deptt. of Sociology, Utkal University, Vani Vihar, Bhubaneswar, Orissa",56,28,2,49,75%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,35,0.9,382,74%,0,0,SC,1E+06,986404,0.15634041,19,19,19.29,22.96,19.29,15.42,81.16,3.87
Mohinder Singh Kaypee,Elected,18-May-09,In office,Punjab,Jalandhar,Indian National Congress,Male,Graduate,"B.A., L.L.B.; Educated at Punjab University, Chandigarh",57,10,0,4,90%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,23.8,0.7,170,78%,0,0,SC,NA,NA,0.0405096,19,19,19.76,19.69,19.03,19.71,103.74,0.05
Monazir Hassan,Elected,18-May-09,In office,Bihar,Begusarai,Janata Dal (United),Male,Doctorate,"M.A., Ph.D.; Educated at Bhagalpur, University and Bihar Unversity",57,10,0,23,87%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%,0,0,GEN,2555000,1687003,0.056855101,19,19.48,22.16,22.61,23.01,22.16,113.79,-0.01
Mukul Balkrishna Wasnik,Elected,18-May-09,In office,Maharashtra,Ramtek,Indian National Congress,Male,Post Graduate,"M.A., M.B.A.; Educated at Mount Carmel Convent, SFS High School, Hislop College and Department of Business Management, Nagpur University, Nagpur, Maharashtra",54,0,0,0,75%,"This MP was a Minister. He tendered his resignation on 21st Sep, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 22nd Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",9.1,0.2,85,76%,7.5,0.5,146,74%,1,0,SC,2311072,800860,0.0218396,19,19.35,21.32,21.36,20.62,20.06,103.65,1.26
Mulayam Singh Yadav,Elected,18-May-09,In office,Uttar Pradesh,Mainpuri,Samajwadi Party,Male,Post Graduate,"B.A., B.T., M.A. (Political Science); Educated at K.K. College, Etawah, A.K. College, Shikohabad and B.R. College, Agra University, Agra, Uttar Pradesh",74,117,0,0,85%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,0,GEN,7374154,14900000,0.2490087,19,19.06,19.73,19.59,19.59,19.42,101.88,0.31
Munde Gopinathrao Pandurang,Elected,18-May-09,In office,Maharashtra,Beed,Bharatiya Janata Party,Male,Graduate,"B.Com., B.G.L.; Educated at Marathwada and Pune University",64,32,0,465,68%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,1,GEN,37500000,30900000,0.13124231,19,19.35,21.12,26.49,20.76,18.75,96.88,2.37
Munisamy Thambidurai,Elected,18-May-09,In office,Tamil Nadu,Karur,All India Anna Dravida Munnetra Kazhagam,Male,Doctorate,"M.A., M.Phil., M.Litt., Ph.D.; Educated at Madras Christian College, Madras University, Chennai, Tamil Nadu",66,102,0,370,86%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%,0,1,GEN,NA,1895789,0.057291299,19,19.03,20.48,20.93,19.11,20.47,107.59,0.01
Murli Manohar Joshi,Elected,18-May-09,In office,Uttar Pradesh,Varanasi,Bharatiya Janata Party,Male,Doctorate,"M.Sc. (Physics), D. Phil.; Educated at Allahabad University, Allahabad, Uttar Pradesh",80,29,0,577,84%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,1,GEN,26400000,38500000,0.0258621,19,19.06,19.6,19.64,19.45,18.24,95.69,1.36
N. Peethambara Kurup,Elected,18-May-09,In office,Kerala,Kollam,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Kerala University, Kerala",71,35,0,189,87%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,69.4,1.5,416,79%,0,0,GEN,2555000,255132,0.023308801,19,19.6,21.2,30.71,20.11,19.38,98.88,1.82
N.Dharam Singh,Elected,18-May-09,In office,Karnataka,Bidar,Indian National Congress,Male,Post Graduate,"MA, LL.B.; Educated at Osmania University, Hyderabad",77,4,0,50,69%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%,0,1,GEN,NA,NA,0.050843101,19,19.61,20.01,20.14,18.78,16.22,82.72,3.79
N.S.V. Chitthan,Elected,18-May-09,In office,Tamil Nadu,Dindigul,Indian National Congress,Male,Graduate,"B.A. (Economics); Educated at Madurai College, Madurai Thiaganajar College, Madurai",79,61,2,486,88%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%,0,0,GEN,11500000,3926856,0.066231802,19,19.03,19.43,19.59,19.59,19.43,102.13,0
Nalin Kumar Kateel,Elected,18-May-09,In office,Karnataka,Dakshina Kannada,Bharatiya Janata Party,Male,Matric,"Educated at St. Philomeaia Higher School, Puttar, T.W. D.K. Distt. Karnataka",47,15,0,283,69%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%,0,0,GEN,2750000,2701279,0.039786499,19,19.61,20.87,20.77,20.45,20.43,104.2,0.44
Nama Nageswara Rao,Elected,18-May-09,In office,Andhra Pradesh,Khammam,Telugu Desam Party,Male,Inter/ Higher Secondary,,56,114,0,488,86%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%,0,0,GEN,1,8027900,0.1203549,19,19,20.48,19.01,18.36,20.48,107.79,0
Namo Narain Meena,Elected,18-May-09,In office,Rajasthan,Tonk-Sawai Madhopur,Indian National Congress,Male,Post Graduate,"M. A. (Geography); Educated at M.B. College, Udaipur, Rajasthan",70,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.Â  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,GEN,2500000,3506236,0.0003952,19,19,19.28,24.31,18.36,15.8,83.16,3.48
Narahari Mahato,Elected,18-May-09,In office,West Bengal,Purulia,All India Forward Bloc,Male,Post Graduate,"B.A. (Pass), M.A. (Pol. Sc., History, Bengali), B.Ed.; Educated at Burdwan University, West Bengal and Ranchi University, Jharkhand",57,53,0,650,71%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%,0,0,GEN,2720000,1866000,0.021338399,19,20.14,21.52,23.18,21.51,21.52,106.84,0
Naramalli Sivaprasad,Elected,18-May-09,In office,Andhra Pradesh,Chittoor,Telugu Desam Party,Male,Graduate,"M.B.B.S.; Educated at S.V. Medical College, Tirupati, Chittoor (Andhra Pradesh) ",62,5,0,16,55%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%,0,0,SC,5500000,511000,0.0103617,19,19,20.66,20.06,19.7,20.66,108.74,0
Naranbhai Kachhadia,Elected,18-May-09,In office,Gujarat,Amreli,Bharatiya Janata Party,Male,Under Matric,"Educated at Charkhadiya, Govt. of Primary School",58,86,0,768,88%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,41,1.4,382,76%,0,0,GEN,3601000,1147282,0.071131296,19,19.08,20.54,23.36,20.51,20.1,105.36,0.44
Narayan Singh Amlabe,Elected,18-May-09,In office,Madhya Pradesh,Rajgarh,Indian National Congress,Male,Inter/ Higher Secondary,"Educated at Madhya Pradesh Board, Bhopal",62,70,0,133,90%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,46.6,0.4,233,82%,0,0,GEN,NA,860493,0.037500098,19,19.03,20.18,19.94,19.8,19.39,101.87,0.79
Narendra Singh Tomar,Elected,18-May-09,In office,Madhya Pradesh,Morena,Bharatiya Janata Party,Male,Graduate,"Educated at Jiwaji University, Gwalior, Madhya Pradesh",56,10,0,215,60%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,46.6,0.4,233,82%,0,0,GEN,2300000,3182942,0.142116,19,19.03,19.32,20.02,19.33,17.22,90.47,2.1
Natubhai Gomanbhai Patel,Elected,18-May-09,In office,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Bharatiya Janata Party,Male,Under Matric,,41,2,0,33,44%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,2,0,33,44%,0,1,ST,74500000,15300000,0.0055997,19,20,21.31,33.55,27.11,21.29,106.45,0.02
Naveen Jindal,Elected,18-May-09,In office,Haryana,Kurukshetra,Indian National Congress,Male,Post Graduate,"MBA, B.Com. (Hons.), Educated at University of Texas, Dallas, U.S.A.; Hansraj College, University of Delhi, Delhi",43,20,0,516,81%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,13.1,0.1,231,69%,0,0,GEN,57200000,1.23E+09,0.13561989,19,19,19.69,20.84,19.24,19.24,101.26,0.45
Navjot Singh Sidhu,Elected,18-May-09,In office,Punjab,Amritsar,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B.",50,3,0,99,28%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,23.8,0.7,170,78%,0,1,GEN,NA,NA,0.0084201,19,19,19.47,21.47,19.47,19.45,102.37,0.02
Neeraj Shekhar,Elected,18-May-09,In office,Uttar Pradesh,Ballia,Samajwadi Party,Male,Graduate,B.A. (Hons.); Educated at Modern School and Atmaram Sanatan College,45,33,0,820,93%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,0,GEN,12200000,16900000,0.1070561,19,19.06,19.45,21.1,17.88,14.49,76.01,4.96
Nikhil Kumar Choudhary,Elected,18-May-09,In office,Bihar,Katihar,Bharatiya Janata Party,Male,Graduate,"B.Sc.; Eductaed at T.N.B. College, Bhagalpur, Bihar",68,33,0,183,88%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%,0,1,GEN,6400000,1610530,0.0193363,19,19.48,20.89,21.48,22.07,20.89,107.27,-0.01
Nilesh Narayan Rane,Elected,18-May-09,In office,Maharashtra,Ratnagiri-Sindhudurg,Indian National Congress,Male,Doctorate,"Ph.d; Educated at Mumbai University, Maharashtra",32,19,0,606,70%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,1,GEN,NA,NA,0.065046102,19,19.35,20.75,27.17,20.28,19.93,102.98,0.82
Ninong Ering,Elected,18-May-09,In office,Arunachal Pradesh,Arunachal East,Indian National Congress,Male,Graduate,"B.A.; Educated at J.N. College, Pasighat, Arunachal Pradesh",55,19,0,26,88%,"This MP was appointed a minister in Oct, 2012.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",28.8,0.6,215,76%,13.8,0,46,75%,1,0,ST,NA,NA,0.31846821,19,19,19.18,19.18,19.18,19.18,100.95,0
Nirmal Khatri,Elected,18-May-09,In office,Uttar Pradesh,Faizabad,Indian National Congress,Male,Doctorate,"M.A. (Pol Sc.), LL.B., Ph.D.; Educated at K. S. Saket Post-Graduate College, Ayodhya, Faizabad; (Uttar Pradesh) ",63,37,0,24,94%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,0,GEN,5500000,852200,0.072384298,19,19.06,19.56,19.52,19.52,19.5,102.3,0.06
Nishikant Dubey,Elected,18-May-09,In office,Jharkhand,Godda,Bharatiya Janata Party,Male,Post Graduate,"B.A. (H), M.B.A.; Educated at Marwari College Bhagalpur (Bihar) and F.M.S. Delhi University (Delhi) ",45,93,5,817,95%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,38.8,0.8,251,66%,0,0,GEN,86100000,20100000,0.0080326,19,16.64,17.04,23,15.95,12.05,72.4,4.99
Nityananda Pradhan,Elected,18-May-09,In office,Orissa,Aska,Biju Janata Dal,Male,Post Graduate,"M.A., LL.B. Educated at Khallikote College, Berhampur, Ganjam, Orissa and Berhampur Law College, Berhampur",69,7,0,682,67%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,35,0.9,382,74%,0,0,GEN,4590000,3256470,0.33172911,19,19,19.44,19.52,18.55,18.72,98.53,0.72
Nripendra Nath Roy,Elected,18-May-09,In office,West Bengal,Cooch Behar,All India Forward Bloc,Male,Graduate,"B.A.; Educated at Dinhata College, Distt-Coochbehar, West Bengal",54,53,0,636,75%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%,0,1,SC,9E+05,289049,0.030105,19,20.14,21.46,21.35,21.35,21.46,106.54,0
O. S. Manian,Elected,18-May-09,In office,Tamil Nadu,Mayiladuthurai,All India Anna Dravida Munnetra Kazhagam,Male,Inter/ Higher Secondary,"P.U.C.; Educated at Kathir Mohaitheen College, Athirampattinam",59,52,0,60,70%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%,0,1,GEN,NA,NA,0.046091702,19,16.53,16.92,19.87,19.87,16.92,102.39,0
Om Prakash Yadav,Elected,18-May-09,In office,Bihar,Siwan,Independent,Male,Graduate,"B.Sc.; Educated at D.A.V. College, Siwan, Bihar",51,29,9,319,73%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%,0,0,GEN,NA,781500,0.098814502,19,19.48,19.82,22.89,19.83,19.82,101.77,-0.01
P. Balram,Elected,18-May-09,In office,Andhra Pradesh,Mahabubabad,Indian National Congress,Male,Graduate,"B.A.; Educated at Andhra University, Hyderabad",49,10,0,429,68%,"This MP was appointed a minister in Oct, 2012.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",28.8,0.6,215,76%,16,0.4,266,68%,1,0,ST,NA,2753194,0.069205999,19,19,20.02,20.08,20.08,20.02,105.37,0
P. C. Mohan,Elected,18-May-09,In office,Karnataka,Bangalore Central,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Educated at Vijiya College,50,5,0,252,70%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%,0,0,GEN,18400000,36300000,0.041580599,19,17.11,17.72,20.34,20.34,17.65,103.17,0.07
P. Jaya Prada Nahata,Elected,18-May-09,In office,Uttar Pradesh,Rampur,Independent,Female,Graduate,"B.A.; Educated at Rajalakshmi Women`s College, Rajahmundry, East Godavari District (Andhra Pradesh) ",51,27,0,395,39%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,0,GEN,1.13E+08,15900000,0.0510263,19,19.06,19.56,20.19,19.55,19.57,102.66,-0.01
P. K. Biju,Elected,18-May-09,In office,Kerala,Alathur,Communist Party of India (Marxist),Male,Post Graduate,"M.Sc. (Polymer Chemistry); Educated at School of Chemical Sciences, Mahatama Gandhi University, Kottayam, Kerala",39,106,0,452,86%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,69.4,1.5,416,79%,0,0,SC,4E+05,211000,0.025296399,19,19.6,21.17,21.05,20.53,19.55,99.74,1.62
P. Karunakaran,Elected,18-May-09,In office,Kerala,Kasaragod,Communist Party of India (Marxist),Male,Post Graduate,"M.A.; Educated at M.A. College, Kothamangalam",68,99,0,595,76%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,69.4,1.5,416,79%,0,0,GEN,17700000,163245,0.076056302,19,19.6,21.62,25.9,19.75,19.06,97.24,2.56
P. Kumar,Elected,18-May-09,In office,Tamil Nadu,Tiruchirappalli,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"B.Sc., B.L., Educated at Govt. Law College, Tiruchirappalli",42,55,0,596,87%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%,0,0,GEN,NA,545000,0.0060359,19,19.03,20.46,19.02,19.22,20.46,107.54,0
P. Lingam,Elected,18-May-09,In office,Tamil Nadu,Tenkasi,Communist Party of India,Male,Graduate,"B.A. (History); Educated at Madurai Kamarajar University, Madurai, Tamil Nadu",48,87,0,334,96%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%,0,0,SC,90000,184365,0.046481099,19,19.03,19.66,19.3,19.24,19.46,102.28,0.2
P. T. Thomas,Elected,18-May-09,In office,Kerala,Idukki,Indian National Congress,Male,Post Graduate,"M.A. (History), LL.B.; Educated at (i) St. Georges High School Parathode, Idukki; (ii) Mar Ivanios College Thiruvananthapuram; (iii) Newman College, Thodupuzha, Idukki; (iv) Maharajas College Ernakulam; (V) Government Law College, Kozhikode; and (vi) Gove",63,128,9,502,96%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,69.4,1.5,416,79%,0,0,GEN,3300000,704094,0.095172301,19,19.6,20.84,26.41,19.69,20.84,106.33,0
P. Venugopal,Elected,18-May-09,In office,Tamil Nadu,Tiruvallur,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"M.B.B.S.; Educated at Stanley Medical College, Chennai, Tamil Nadu",61,31,0,474,89%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%,0,0,SC,1375000,1145896,0.037279099,19,19.03,19.54,19.74,18.99,14.99,78.79,4.55
P. Viswanathan,Elected,18-May-09,In office,Tamil Nadu,Kancheepuram,Indian National Congress,Male,Graduate,"B.A. (Economics); Educated at Periyar Arts College, Cuddalore, Madras University, Tamil Nadu",49,38,0,658,87%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%,0,0,SC,4015800,1610921,0.0166512,19,19.03,19.63,19.66,19.17,16.96,89.14,2.67
P.C. Chacko,Elected,18-May-09,In office,Kerala,Thrissur,Indian National Congress,Male,Post Graduate,"B.Sc. (Geology), M.A. (Public Admn.); Educated at Mar Ivanios College and University College, Trivandrum, Madural Kamaraj University",67,24,0,28,90%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,69.4,1.5,416,79%,0,0,GEN,NA,4349192,0.0308275,19,19.6,21.53,26.45,20.12,19.73,100.66,1.8
P.C. Gaddigoudar,Elected,18-May-09,In office,Karnataka,Bagalkot,Bharatiya Janata Party,Male,Graduate,"B.A., LLB; Educated at Basaveshwar Arts College, Bagalkot and Raja Lokhamagouda College, Belgaum",62,8,0,413,75%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%,0,0,GEN,15300000,1450000,0.0412197,19,19.61,20.71,20.32,20.36,19.25,98.18,1.46
P.L. Punia,Elected,18-May-09,In office,Uttar Pradesh,Barabanki,Indian National Congress,Male,Doctorate,"M.A., Ph.D.; Educated at Punjab University, Chandigarh and Lucknow University, Lucknow, Uttar Pradesh",69,289,11,656,99%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,0,SC,7500000,2.7E+08,0.2258632,19,19.06,19.11,22.43,16.73,15.96,83.72,3.15
P.R. Natarajan,Elected,18-May-09,In office,Tamil Nadu,Coimbatore,Communist Party of India (Marxist),Male,Under Graduate,B.A (Incomplete); Educated at Madras University,63,34,0,432,89%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%,0,0,GEN,NA,NA,0.0469197,19,19.03,20.25,18.63,18.7,20.24,106.38,0.01
Paban Singh Ghatowar,Elected,18-May-09,In office,Assam,Dibrugarh,Indian National Congress,Male,Graduate,"B.A.; Educated at Gauhati University, Guwahati, Assam; Industrial Relations Training (U.K.), 1975",63,9,0,18,91%,"This MP was appointed a minister in Jul, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th Mar, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",15.9,0.4,119,76%,8.6,0.2,31,80%,1,0,GEN,2736800,7060214,0.046840198,19,19,19.68,19.34,19.24,18.39,96.79,1.29
Padamsinha Bajirao Patil,Elected,18-May-09,In office,Maharashtra,Osmanabad,Nationalist Congress Party,Male,Graduate,"M.B.B.S.; Educated B.J. Medical College, Pune, Maharashtra",73,3,0,237,61%,Complete attendance for this MP is not available (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,1,GEN,48400000,24200000,0.0073409,19,19.35,20.95,22.56,20.53,19.54,100.96,1.41
Pakauri Lal,Elected,18-May-09,In office,Uttar Pradesh,Robertsganj,Samajwadi Party,Male,Under Matric,,61,19,0,61,85%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,0,SC,950000,612515,0.0844239,19,19.06,19.65,20.13,19.65,19.39,101.72,0.26
